glyph,description
b̃,voiced nasalized bilabial stop consonant
b̃ʷ,voiced nasalized labialized bilabial stop consonant
b̤,breathy bilabial stop consonant
b̤v̤,breathy labiodental affricate consonant
b̤z̤,LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER Z and COMBINING DIAERESIS BELOW
b̤ʲ,breathy palatalized bilabial stop consonant
b̤ː,long breathy bilabial stop consonant
b̤̥,voiceless bilabial stop consonant
b̩,syllabic voiced bilabial stop consonant
b̪,voiced labiodental stop consonant
b̰,creaky bilabial stop consonant
b̻,voiced laminal bilabial stop consonant
b͈,fortis voiced bilabial stop consonant
b͈ː,long fortis voiced bilabial stop consonant
b͉,lenis voiced bilabial stop consonant
bβ,voiced bilabial affricate consonant
bⁿ,LATIN SMALL LETTER B and SUPERSCRIPT LATIN SMALL LETTER N
c,voiceless palatal stop consonant
cç,#NAME ERROR#
cçʰ,#NAME ERROR#
cçʲ,#NAME ERROR#
cçʷ,#NAME ERROR#
cçʷʰ,#NAME ERROR#
cçʼ,#NAME ERROR#
cçː,#NAME ERROR#
cɕ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL
cɕʰ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL and MODIFIER LETTER SMALL H
cɕʼ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL and MODIFIER LETTER APOSTROPHE
cɲ,LATIN SMALL LETTER C and LATIN SMALL LETTER N WITH LEFT HOOK
cʰ,aspirated voiceless palatal stop consonant
cʲ,voiceless palatalized palatal stop consonant
cʷ,voiceless labialized palatal stop consonant
cʷʰ,aspirated voiceless labialized palatal stop consonant
cʼ,voiceless palatal ejective stop consonant
cʼː,long voiceless palatal ejective stop consonant
cː,long voiceless palatal stop consonant
c̟,voiceless advanced palatal stop consonant
c̤,breathy palatal stop consonant
ç,LATIN SMALL LETTER C and COMBINING CEDILLA
çʲ,LATIN SMALL LETTER C and COMBINING CEDILLA and MODIFIER LETTER SMALL J
çʷ,LATIN SMALL LETTER C and COMBINING CEDILLA and MODIFIER LETTER SMALL W
çː,LATIN SMALL LETTER C and COMBINING CEDILLA and MODIFIER LETTER TRIANGULAR COLON
ç̟,LATIN SMALL LETTER C and COMBINING CEDILLA and COMBINING PLUS SIGN BELOW
c̰,creaky palatal stop consonant
d,voiced alveolar stop consonant
dl,LATIN SMALL LETTER D and LATIN SMALL LETTER L
dlʷ,LATIN SMALL LETTER D and LATIN SMALL LETTER L and MODIFIER LETTER SMALL W
dr,LATIN SMALL LETTER D and LATIN SMALL LETTER R
dx,LATIN SMALL LETTER D and LATIN SMALL LETTER X
dz,voiced alveolar sibilant affricate consonant
dzʱ,breathy alveolar sibilant affricate consonant
dzʲ,voiced palatalized alveolar sibilant affricate consonant
dzʷ,voiced labialized alveolar sibilant affricate consonant
dzʼ,LATIN SMALL LETTER D and LATIN SMALL LETTER Z and MODIFIER LETTER APOSTROPHE
dzː,long voiced alveolar sibilant affricate consonant
dzˠ,voiced velarized alveolar sibilant affricate consonant
dz̃,voiced nasalized alveolar sibilant affricate consonant
dz̤,breathy alveolar sibilant affricate consonant
dz̪,voiced dental alveolar sibilant affricate consonant
dɮ,voiced alveolar lateral affricate consonant
dɾ,LATIN SMALL LETTER D and LATIN SMALL LETTER R WITH FISHHOOK
dʑ,voiced alveolo-palatal sibilant affricate consonant
dʑᶣ,voiced labio-palatalized alveolo-palatal sibilant affricate consonant
dʒ,voiced palatal sibilant affricate consonant
dʱ,breathy alveolar stop consonant
dʲ,voiced palatalized alveolar stop consonant
dʲʷ,voiced palatalized labialized alveolar stop consonant
dʷ,voiced labialized alveolar stop consonant
dʼ,LATIN SMALL LETTER D and MODIFIER LETTER APOSTROPHE
dʼkxʼ,LATIN SMALL LETTER D and MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER K and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
dˀ,voiced glottalized alveolar stop consonant
dː,long voiced alveolar stop consonant
dˠ,voiced velarized alveolar stop consonant
dˤ,voiced pharyngealized alveolar stop consonant
dˤː,long voiced pharyngealized alveolar stop consonant
d̃,voiced nasalized alveolar stop consonant
d̞,voiced lowered alveolar stop consonant
d̠,voiced retracted alveolar stop consonant
d̠ʒ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH
d̠ʒxʼ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
d̠ʒɾ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and LATIN SMALL LETTER R WITH FISHHOOK
d̠ʒʱ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER SMALL H WITH HOOK
d̠ʒʲ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER SMALL J
d̠ʒʷ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER SMALL W
d̠ʒʼ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER APOSTROPHE
d̠ʒː,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER TRIANGULAR COLON
d̠ʒˠ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER SMALL GAMMA
d̠ʒ̤,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and COMBINING DIAERESIS BELOW
