glyph,description
kpˤ,LATIN SMALL LETTER K and LATIN SMALL LETTER P and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
kx,voiceless velar affricate consonant
kxʰ,aspirated voiceless velar affricate consonant
kxʷ,voiceless labialized velar affricate consonant
kxʷʰ,aspirated voiceless labialized velar affricate consonant
kxʼ,voiceless velar ejective affricate consonant
kxʼː,long voiceless velar ejective affricate consonant
kxː,long voiceless velar affricate consonant
kŋ,LATIN SMALL LETTER K and LATIN SMALL LETTER ENG
kǀ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK
kǀx,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and LATIN SMALL LETTER X
kǀxʼ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
kǀʰ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL H
kǀʰʷ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL H and MODIFIER LETTER SMALL W
kǀʰʼ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL H and MODIFIER LETTER APOSTROPHE
kǀʷ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL W
kǀʼ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and MODIFIER LETTER APOSTROPHE
kǀ̪,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING BRIDGE BELOW
kǀ͓,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING X BELOW
kǀ͓x,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and LATIN SMALL LETTER X
kǀ͓ʰ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL H
kǀ͓ˀ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and MODIFIER LETTER GLOTTAL STOP
kǀ͓ˠʰ,LATIN SMALL LETTER K and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL GAMMA and MODIFIER LETTER SMALL H
kǁ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK
kǁx,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and LATIN SMALL LETTER X
kǁxʼ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
kǁʰ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and MODIFIER LETTER SMALL H
kǁʼ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and MODIFIER LETTER APOSTROPHE
kǁʼʰ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER SMALL H
kǁ͓,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and COMBINING X BELOW
kǁ͓xʰ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and COMBINING X BELOW and LATIN SMALL LETTER X and MODIFIER LETTER SMALL H
kǁ͓ʰ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL H
kǁ͓ˀ,LATIN SMALL LETTER K and LATIN LETTER LATERAL CLICK and COMBINING X BELOW and MODIFIER LETTER GLOTTAL STOP
kǂ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK
kǂx,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and LATIN SMALL LETTER X
kǂxʼ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
kǂʰ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER SMALL H
kǂʼ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER APOSTROPHE
kǂ͓ˡ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L
kǂ͓ˡx,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L and LATIN SMALL LETTER X
kǂ͓ˡʰ,LATIN SMALL LETTER K and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L and MODIFIER LETTER SMALL H
kǃ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK
kǃx,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and LATIN SMALL LETTER X
kǃxʰ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and LATIN SMALL LETTER X and MODIFIER LETTER SMALL H
kǃxʼ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
kǃʰ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER SMALL H
kǃʰʼ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER SMALL H and MODIFIER LETTER APOSTROPHE
kǃʼ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER APOSTROPHE
kǃ̠,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW
kǃ̠xʰ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER X and MODIFIER LETTER SMALL H
kǃ̠ʰ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW and MODIFIER LETTER SMALL H
kǃ̠ˀ,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW and MODIFIER LETTER GLOTTAL STOP
kǃ̪,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING BRIDGE BELOW
kǃ͓,LATIN SMALL LETTER K and LATIN LETTER RETROFLEX CLICK and COMBINING X BELOW
kɡ,LATIN SMALL LETTER K and LATIN SMALL LETTER SCRIPT G
kɦ,LATIN SMALL LETTER K and LATIN SMALL LETTER H WITH HOOK
kɬ,LATIN SMALL LETTER K and LATIN SMALL LETTER L WITH BELT
kɾ,LATIN SMALL LETTER K and LATIN SMALL LETTER R WITH FISHHOOK
kʘ,LATIN SMALL LETTER K and LATIN LETTER BILABIAL CLICK
kʘx,LATIN SMALL LETTER K and LATIN LETTER BILABIAL CLICK and LATIN SMALL LETTER X
kʘxʼ,LATIN SMALL LETTER K and LATIN LETTER BILABIAL CLICK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
kʘʰ,LATIN SMALL LETTER K and LATIN LETTER BILABIAL CLICK and MODIFIER LETTER SMALL H
kʘʼ,LATIN SMALL LETTER K and LATIN LETTER BILABIAL CLICK and MODIFIER LETTER APOSTROPHE
kʟ̥ʼ,LATIN SMALL LETTER K and LATIN LETTER SMALL CAPITAL L and COMBINING RING BELOW and MODIFIER LETTER APOSTROPHE
kʟ̥͓ʼ,LATIN SMALL LETTER K and LATIN LETTER SMALL CAPITAL L and COMBINING RING BELOW and COMBINING X BELOW and MODIFIER LETTER APOSTROPHE
kʰ,aspirated voiceless velar stop consonant
kʰʲ,aspirated voiceless palatalized velar stop consonant
kʰʷ,aspirated voiceless labialized velar stop consonant
kʰː,aspirated long voiceless velar stop consonant
kʲ,voiceless palatalized velar stop consonant
kʲʰ,aspirated voiceless palatalized velar stop consonant
kʲʼ,LATIN SMALL LETTER K and MODIFIER LETTER SMALL J and MODIFIER LETTER APOSTROPHE
kʷ,voiceless labialized velar stop consonant
kʷɾ,LATIN SMALL LETTER K and MODIFIER LETTER SMALL W and LATIN SMALL LETTER R WITH FISHHOOK
kʷʰ,aspirated voiceless labialized velar stop consonant
kʷʰː,aspirated long voiceless labialized velar stop consonant
kʷʱ,breathy labialized velar stop consonant
kʷʼ,LATIN SMALL LETTER K and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
kʷʼː,LATIN SMALL LETTER K and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
kʷˀ,voiceless labialized glottalized velar stop consonant
kʷː,long voiceless labialized velar stop consonant
kʼ,voiceless velar ejective stop consonant
kʼʲ,voiceless palatalized velar ejective stop consonant
kʼʷ,voiceless labialized velar ejective stop consonant
kʼː,long voiceless velar ejective stop consonant
kˀ,voiceless glottalized velar stop consonant
kː,long voiceless velar stop consonant
kːʷ,long voiceless labialized velar stop consonant
kˤ,voiceless pharyngealized velar stop consonant
k̃,voiceless nasalized velar stop consonant
k̃ʷ,voiceless nasalized labialized velar stop consonant
k̙,voiceless retracted-tongue-root velar stop consonant
k̟,voiceless advanced velar stop consonant
k̟ʰ,aspirated voiceless advanced velar stop consonant
k̟ʲʰ,aspirated voiceless advanced palatalized velar stop consonant
k̟ʲʼ,LATIN SMALL LETTER K and COMBINING PLUS SIGN BELOW and MODIFIER LETTER SMALL J and MODIFIER LETTER APOSTROPHE
k̰,creaky velar stop consonant
k̰ʷ,creaky labialized velar stop consonant
k̻,voiceless laminal velar stop consonant
k͈,fortis voiceless velar stop consonant
k͈ʷ,fortis voiceless labialized velar stop consonant
k͈ː,long fortis voiceless velar stop consonant
k͉,lenis voiceless velar stop consonant
k͉ʷ,lenis voiceless labialized velar stop consonant
kᶣ,voiceless labio-palatalized velar stop consonant
k‼,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK
k‼x,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and LATIN SMALL LETTER X
k‼xʼ,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
k‼ʰ,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER SMALL H
k‼ʰʼ,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER SMALL H and MODIFIER LETTER APOSTROPHE
k‼ʼ,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER APOSTROPHE
l,voiced alveolar lateral approximant consonant
ld,LATIN SMALL LETTER L and LATIN SMALL LETTER D
lɦ,LATIN SMALL LETTER L and LATIN SMALL LETTER H WITH HOOK
lʔ,LATIN SMALL LETTER L and LATIN LETTER GLOTTAL STOP
lʱ,breathy alveolar lateral approximant consonant
lʲ,voiced palatalized alveolar lateral approximant consonant
lʲʷ,voiced palatalized labialized alveolar lateral approximant consonant
lʷ,voiced labialized alveolar lateral approximant consonant
lʼ,LATIN SMALL LETTER L and MODIFIER LETTER APOSTROPHE
lʼː,LATIN SMALL LETTER L and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
lˀ,voiced glottalized alveolar lateral approximant consonant
lː,long voiced alveolar lateral approximant consonant
lˠ,voiced velarized alveolar lateral approximant consonant
lˤ,voiced pharyngealized alveolar lateral approximant consonant
lˤː,long voiced pharyngealized alveolar lateral approximant consonant
l̃,voiced nasalized alveolar lateral approximant consonant
l̠,voiced retracted alveolar lateral approximant consonant
l̠˞,voiced retracted rhotacized alveolar lateral approximant consonant
l̠̤,breathy retracted alveolar lateral approximant consonant
l̤,breathy alveolar lateral approximant consonant
l̥,voiceless alveolar lateral approximant consonant
l̥ʲ,voiceless palatalized alveolar lateral approximant consonant
l̥ː,long voiceless alveolar lateral approximant consonant
l̥ˠ,voiceless velarized alveolar lateral approximant consonant
l̩,syllabic voiced alveolar lateral approximant consonant
l̪,voiced dental alveolar lateral approximant consonant
l̪ʲ,voiced dental palatalized alveolar lateral approximant consonant
l̪ʷ,voiced dental labialized alveolar lateral approximant consonant
l̪ː,long voiced dental alveolar lateral approximant consonant
l̪ˠ,voiced dental velarized alveolar lateral approximant consonant
l̪ˤ,voiced dental pharyngealized alveolar lateral approximant consonant
l̪̤,breathy dental alveolar lateral approximant consonant
l̪̥,voiceless dental alveolar lateral approximant consonant
l̪̩,syllabic voiced dental alveolar lateral approximant consonant
l̪̰,creaky dental alveolar lateral approximant consonant
l̰,creaky alveolar lateral approximant consonant
l̻,voiced laminal alveolar lateral approximant consonant
l̻ː,long voiced laminal alveolar lateral approximant consonant
l̻̰,creaky laminal alveolar lateral approximant consonant
l͈ː,long fortis voiced alveolar lateral approximant consonant
l͉,lenis voiced alveolar lateral approximant consonant
lᶣ,voiced labio-palatalized alveolar lateral approximant consonant
m,voiced bilabial nasal stop consonant
mb,LATIN SMALL LETTER M and LATIN SMALL LETTER B
mbv,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER V
mbz,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER Z
mbɾ,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER R WITH FISHHOOK
mbʲ,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL J
mbʷ,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL W
mbː,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER TRIANGULAR COLON
mbˠ,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL GAMMA
mp,LATIN SMALL LETTER M and LATIN SMALL LETTER P
mpf,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER F
mpfʼ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER F and MODIFIER LETTER APOSTROPHE
mpɾ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER R WITH FISHHOOK
mpʰ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL H
mpʲ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL J
mpʷ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL W
mpʼ,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER APOSTROPHE
mv,LATIN SMALL LETTER M and LATIN SMALL LETTER V
mw,LATIN SMALL LETTER M and LATIN SMALL LETTER W
mɓ,LATIN SMALL LETTER M and LATIN SMALL LETTER B WITH HOOK
mɦ,LATIN SMALL LETTER M and LATIN SMALL LETTER H WITH HOOK
mɾ,LATIN SMALL LETTER M and LATIN SMALL LETTER R WITH FISHHOOK
mʱ,breathy bilabial nasal stop consonant
mʲ,voiced palatalized bilabial nasal stop consonant
mʷ,voiced labialized bilabial nasal stop consonant
mʷː,long voiced labialized bilabial nasal stop consonant
mʷˠ,voiced labialized velarized bilabial nasal stop consonant
mʼ,voiceless bilabial nasal ejective stop consonant
mˀ,voiced glottalized bilabial nasal stop consonant
mː,long voiced bilabial nasal stop consonant
mːʷˠ,long voiced labialized velarized bilabial nasal stop consonant
mˠ,voiced velarized bilabial nasal stop consonant
mˤ,voiced pharyngealized bilabial nasal stop consonant
mˤː,long voiced pharyngealized bilabial nasal stop consonant
m̃ʷ,voiced nasalized labialized bilabial nasal stop consonant
m̤,breathy bilabial nasal stop consonant
m̤b̤,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW
m̤b̤v̤,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER V and COMBINING DIAERESIS BELOW
m̤pʰ,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER P and MODIFIER LETTER SMALL H
m̤ʱ,breathy bilabial nasal stop consonant
m̥,voiceless bilabial nasal stop consonant
m̥p,LATIN SMALL LETTER M and COMBINING RING BELOW and LATIN SMALL LETTER P
m̥ʰ,aspirated voiceless bilabial nasal stop consonant
m̥ʷ,voiceless labialized bilabial nasal stop consonant
m̩,syllabic voiced bilabial nasal stop consonant
m̪,voiced dental bilabial nasal stop consonant
m̰,creaky bilabial nasal stop consonant
m͈ː,long fortis voiced bilabial nasal stop consonant
m͉,lenis voiced bilabial nasal stop consonant
n,voiced alveolar nasal stop consonant
nd,LATIN SMALL LETTER N and LATIN SMALL LETTER D
ndl,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER L
ndr,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER R
ndz,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z
ndzʲ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL J
ndzʷ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL W
ndɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER R WITH FISHHOOK
ndʑ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z WITH CURL
ndʲ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and MODIFIER LETTER SMALL J
ndʷ,LATIN SMALL LETTER N and LATIN SMALL LETTER D and MODIFIER LETTER SMALL W
ndː,LATIN SMALL LETTER N and LATIN SMALL LETTER D and MODIFIER LETTER TRIANGULAR COLON
nd̪,LATIN SMALL LETTER N and LATIN SMALL LETTER D and COMBINING BRIDGE BELOW
nh,LATIN SMALL LETTER N and LATIN SMALL LETTER H
nl,LATIN SMALL LETTER N and LATIN SMALL LETTER L
nr,LATIN SMALL LETTER N and LATIN SMALL LETTER R
ns,LATIN SMALL LETTER N and LATIN SMALL LETTER S
nsɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER S and LATIN SMALL LETTER R WITH FISHHOOK
nsʷ,LATIN SMALL LETTER N and LATIN SMALL LETTER S and MODIFIER LETTER SMALL W
nt,LATIN SMALL LETTER N and LATIN SMALL LETTER T
ntlʼ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and LATIN SMALL LETTER L and MODIFIER LETTER APOSTROPHE
nts,LATIN SMALL LETTER N and LATIN SMALL LETTER T and LATIN SMALL LETTER S
ntsʼ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and LATIN SMALL LETTER S and MODIFIER LETTER APOSTROPHE
ntɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and LATIN SMALL LETTER R WITH FISHHOOK
ntʰ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and MODIFIER LETTER SMALL H
ntʷ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and MODIFIER LETTER SMALL W
ntʼ,LATIN SMALL LETTER N and LATIN SMALL LETTER T and MODIFIER LETTER APOSTROPHE
nz,LATIN SMALL LETTER N and LATIN SMALL LETTER Z
nzɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER Z and LATIN SMALL LETTER R WITH FISHHOOK
nzʷ,LATIN SMALL LETTER N and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL W
nð,LATIN SMALL LETTER N and LATIN SMALL LETTER ETH
nɗ,LATIN SMALL LETTER N and LATIN SMALL LETTER D WITH HOOK
nɟ,LATIN SMALL LETTER N and LATIN SMALL LETTER DOTLESS J WITH STROKE
nɡ,LATIN SMALL LETTER N and LATIN SMALL LETTER SCRIPT G
nɡɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER SCRIPT G and LATIN SMALL LETTER R WITH FISHHOOK
nɦ,LATIN SMALL LETTER N and LATIN SMALL LETTER H WITH HOOK
nɬ,LATIN SMALL LETTER N and LATIN SMALL LETTER L WITH BELT
nɮ,LATIN SMALL LETTER N and LATIN SMALL LETTER LEZH
nɾ,LATIN SMALL LETTER N and LATIN SMALL LETTER R WITH FISHHOOK
nʱ,breathy alveolar nasal stop consonant
nʲ,voiced palatalized alveolar nasal stop consonant
nʲʷ,voiced palatalized labialized alveolar nasal stop consonant
nʷ,voiced labialized alveolar nasal stop consonant
nʼ,LATIN SMALL LETTER N and MODIFIER LETTER APOSTROPHE
nˀ,voiced glottalized alveolar nasal stop consonant
nː,long voiced alveolar nasal stop consonant
nˠ,voiced velarized alveolar nasal stop consonant
nˤ,voiced pharyngealized alveolar nasal stop consonant
nˤː,long voiced pharyngealized alveolar nasal stop consonant
n̠,voiced retracted alveolar nasal stop consonant
n̠d,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER D
n̠d̠,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW
n̠d̠ʒ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH
n̠d̠ʒʷ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and MODIFIER LETTER SMALL W
n̠t,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T
n̠t̠,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW
n̠t̠ʃ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH
n̠t̠ʃɾ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and LATIN SMALL LETTER R WITH FISHHOOK
n̠t̠ʃʰ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL H
n̠t̠ʃʷ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL W
n̠t̠ʃʼ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER APOSTROPHE
n̠ʃ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH
n̠ʃʷ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL W
n̠ʒ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH
n̠̤,breathy retracted alveolar nasal stop consonant
n̠̤d̠̤ʒ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER EZH
n̠̥,voiceless retracted alveolar nasal stop consonant
n̠̥t̠ʃ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and COMBINING RING BELOW and LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH
n̠̩d̠ʒ,LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW and COMBINING VERTICAL LINE BELOW and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH
n̤,breathy alveolar nasal stop consonant
n̤d̤,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER D and COMBINING DIAERESIS BELOW
n̤d̤z̤,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER D and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER Z and COMBINING DIAERESIS BELOW
n̤d̤ɮ̤,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER D and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER LEZH and COMBINING DIAERESIS BELOW
n̤s,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER S
n̤tʰ,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER T and MODIFIER LETTER SMALL H
n̤ɡ̤,LATIN SMALL LETTER N and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER SCRIPT G and COMBINING DIAERESIS BELOW
n̤ʱ,breathy alveolar nasal stop consonant
n̤ʷ,breathy labialized alveolar nasal stop consonant
n̥,voiceless alveolar nasal stop consonant
n̥ʃ,LATIN SMALL LETTER N and COMBINING RING BELOW and LATIN SMALL LETTER ESH
n̥ʲ,voiceless palatalized alveolar nasal stop consonant
n̥ˠ,voiceless velarized alveolar nasal stop consonant
n̩,syllabic voiced alveolar nasal stop consonant
n̪,voiced dental alveolar nasal stop consonant
n̪d̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER D and COMBINING BRIDGE BELOW
n̪d̪z̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER Z and COMBINING BRIDGE BELOW
n̪d̪ʲ,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL J
n̪d̪ʷ,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL W
n̪s̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW
n̪t̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW
n̪t̪s̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW
n̪t̪s̪ʰ,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL H
n̪t̪ʰ,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL H
n̪z̪,LATIN SMALL LETTER N and COMBINING BRIDGE BELOW and LATIN SMALL LETTER Z and COMBINING BRIDGE BELOW
n̪ʲ,voiced dental palatalized alveolar nasal stop consonant
n̪ʷ,voiced dental labialized alveolar nasal stop consonant
n̪ː,long voiced dental alveolar nasal stop consonant
n̪̤,breathy dental alveolar nasal stop consonant
n̪̥,voiceless dental alveolar nasal stop consonant
n̪̰,creaky dental alveolar nasal stop consonant
n̰,creaky alveolar nasal stop consonant
n̺,voiced apical alveolar nasal stop consonant
n̻,voiced laminal alveolar nasal stop consonant
n̻ʲ,voiced laminal palatalized alveolar nasal stop consonant
n̻ː,long voiced laminal alveolar nasal stop consonant
n͈ː,long fortis voiced alveolar nasal stop consonant
n͉,lenis voiced alveolar nasal stop consonant
nθ,LATIN SMALL LETTER N and GREEK SMALL LETTER THETA
o,voiced rounded close-mid back vowel
oa,LATIN SMALL LETTER O and LATIN SMALL LETTER A
oe,LATIN SMALL LETTER O and LATIN SMALL LETTER E
