GlyphID,Phoneme,Count,Description,advancedTongueRoot,anterior,approximant,back,click,consonantal,constrictedGlottis,continuant,coronal,delayedRelease,distributed,dorsal,epilaryngealSource,fortis,front,high,labial,labiodental,lateral,long,low,loweredLarynxImplosive,nasal,periodicGlottalSource,raisedLarynxEjective,retractedTongueRoot,round,short,sonorant,spreadGlottis,stress,strident,syllabic,tap,tense,tone,trill
006B+0348+02D0,k͈ː,2,long fortis voiceless velar stop consonant,0,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,-,0,-,+,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-
006B+0349,k͉,5,lenis voiceless velar stop consonant,0,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-
006B+0349+02B7,k͉ʷ,1,lenis voiceless labialized velar stop consonant,0,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,0,-,-,-,-,-,-,-,0,+,-,-,-,-,0,-,-,0,0,-
006B+1DA3,kᶣ,2,voiceless labio-palatalized velar stop consonant,0,0,-,+,-,+,-,-,-,-,0,+,-,-,+,+,+,0,-,-,-,-,-,-,-,0,+,-,-,-,-,0,-,-,0,0,-
006B+203C,k‼,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK,0,+,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-
006B+203C+0078,k‼x,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and LATIN SMALL LETTER X,0,+,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-
006B+203C+0078+02BC,k‼xʼ,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE,0,+,-,-,+,+,+,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,+,0,0,-,-,-,-,-,-,-,0,0,-
006B+203C+02B0,k‼ʰ,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER SMALL H,0,+,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-
006B+203C+02B0+02BC,k‼ʰʼ,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER SMALL H and MODIFIER LETTER APOSTROPHE,0,+,-,-,+,+,+,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,+,0,0,-,-,-,-,-,-,-,0,0,-
006B+203C+02BC,k‼ʼ,1,LATIN SMALL LETTER K and DOUBLE EXCLAMATION MARK and MODIFIER LETTER APOSTROPHE,0,+,-,-,+,+,+,-,+,-,-,+,-,-,-,+,-,0,-,-,-,-,-,-,+,0,0,-,-,-,-,-,-,-,0,0,-
006C,l,1421,voiced alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0064,ld,1,LATIN SMALL LETTER L and LATIN SMALL LETTER D,0,+,+|-,0,-,+,-,+|-,+,-,-,-,-,-,0,0,-,0,+|-,-,0,-,-,+,-,0,0,-,+|-,-,-,-,-,-,0,0,-
006C+0266,lɦ,1,LATIN SMALL LETTER L and LATIN SMALL LETTER H WITH HOOK,0,+,+|-,0,-,+|-,-,+,+|-,+,-,-,-,-,0,0,-,0,+|-,-,0,-,-,+,-,0,0,-,+|-,-|+,-,-,-,-,0,0,-
006C+0294,lʔ,1,LATIN SMALL LETTER L and LATIN LETTER GLOTTAL STOP,0,+,+|-,0,-,+,-|+,+|-,+|-,-,-,-,-,-,0,0,-,0,+|-,-,0,-,-,+|-,-,0,0,-,+|-,-,-,-,-,-,0,0,-
006C+02B1,lʱ,2,breathy alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+02B2,lʲ,34,voiced palatalized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,+,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+02B2+02B7,lʲʷ,1,voiced palatalized labialized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,+,+,+,0,+,-,-,-,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-
006C+02B7,lʷ,19,voiced labialized alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,+,0,+,-,0,-,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-
006C+02BC,lʼ,3,LATIN SMALL LETTER L and MODIFIER LETTER APOSTROPHE,0,+,+,0,-,+,+,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,+,0,0,-,+,-,-,-,-,-,0,0,-
006C+02C0,lˀ,2,voiced glottalized alveolar lateral approximant consonant,0,+,+,0,-,+,+,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+02D0,lː,65,long voiced alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,+,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+02D0+02BC,lːʼ,1,,0,+,+,0,-,+,+,+,+,0,-,-,-,-,0,0,-,0,+,+,0,-,-,+,+,0,0,-,+,-,-,-,-,-,0,0,-
006C+02D0+02E4,lːˤ,2,,-,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,+,0,-,-,+,-,+,0,-,+,-,-,-,-,-,0,0,-
006C+02E0,lˠ,11,voiced velarized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,-,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+02E4,lˤ,6,voiced pharyngealized alveolar lateral approximant consonant,-,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,+,0,-,+,-,-,-,-,-,0,0,-
006C+0303,l̃,6,voiced nasalized alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,+,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0320,l̠,13,voiced retracted alveolar lateral approximant consonant,0,-,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0320+02DE,l̠˞,2,voiced retracted rhotacized alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,+,-,-,0,0,-
006C+0324,l̤,17,breathy alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0324+0320,l̤̠,1,,0,-,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0324+032A+007C+006C+0324,l̤̪|l̤,3,,0,+,+,0,-,+,-,+,+,0,0,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0325,l̥,26,voiceless alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0325+02B2,l̥ʲ,2,voiceless palatalized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,+,+,-,0,+,-,-,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0325+02D0,l̥ː,1,long voiceless alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,+,0,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0325+02E0,l̥ˠ,2,voiceless velarized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,-,+,-,0,+,-,-,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+0329,l̩,3,syllabic voiced alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,+,-,0,0,-
006C+032A,l̪,85,voiced dental alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+007C+006C,l̪|l,137,,0,+,+,0,-,+,-,+,+,0,0,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02B2,l̪ʲ,3,voiced dental palatalized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,+,+,-,-,+,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02B2+007C+006C+02B2,l̪ʲ|lʲ,6,,0,+,+,+,-,+,-,+,+,0,0,+,-,-,+,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02B7,l̪ʷ,1,voiced dental labialized alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,+,0,+,-,0,-,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-
006C+032A+02D0,l̪ː,2,long voiced dental alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,+,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02E0,l̪ˠ,5,voiced dental velarized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,+,+,-,-,-,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02E0+007C+006C+02E0,l̪ˠ|lˠ,5,,0,+,+,+,-,+,-,+,+,0,0,+,-,-,-,+,-,0,+,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+032A+02E4+007C+006C+02E4,l̪ˤ|lˤ,1,,-,+,+,0,-,+,-,+,+,0,0,-,-,-,0,0,-,0,+,-,0,-,-,+,-,+,0,-,+,-,-,-,-,-,0,0,-
006C+032A+0325,l̪̥,1,voiceless dental alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+032A+0325+007C+006C+0325,l̪̥|l̥,10,,0,+,+,0,-,+,-,+,+,0,0,-,-,-,0,0,-,0,+,-,0,-,-,-,-,0,0,-,+,+,-,-,-,-,0,0,-
006C+032A+0329,l̪̩,1,syllabic voiced dental alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,+,-,0,0,-
006C+0330,l̰,14,creaky alveolar lateral approximant consonant,0,+,+,0,-,+,+,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0330+032A+007C+006C+0330,l̰̪|l̰,7,,0,+,+,0,-,+,+,+,+,0,0,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0330+033B,l̰̻,1,,0,+,+,0,-,+,+,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+033B,l̻,5,voiced laminal alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+033B+02D0,l̻ː,1,long voiced laminal alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,+,+,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0348+02D0,l͈ː,1,long fortis voiced alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,+,0,0,-,0,+,+,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+0349,l͉,1,lenis voiced alveolar lateral approximant consonant,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,+,-,0,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006C+1DA3,lᶣ,1,voiced labio-palatalized alveolar lateral approximant consonant,0,+,+,+,-,+,-,+,+,0,-,+,-,-,+,+,+,0,+,-,-,-,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-
006D,m,2053,voiced bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+0062,mb,284,LATIN SMALL LETTER M and LATIN SMALL LETTER B,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0062+0076,mbv,2,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER V,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0062+007A,mbz,1,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER Z,0,+,-,0,-,+,-,-|+,-|+,-|+,-,-,-,-,0,0,+|-,-,-,-,0,-,+|-|-,+,-,0,-,-,+|-|-,-,-,+,-,-,0,0,-
006D+0062+027E,mbɾ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER B and LATIN SMALL LETTER R WITH FISHHOOK,0,+,-|+,0,-,+,-,-|+,-|+,-,-,-,-,-,0,0,+|-,-,-,-,0,-,+|-|-,+,-,0,-,-,+|-|+,-,-,-,-,-|+,0,0,-
006D+0062+02B2,mbʲ,5,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL J,0,0,-,+,-,+,-,-,-,-,0,+,-,-,+,+,+,-,-,-,-,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0062+02B7,mbʷ,14,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL W,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+,-,0,+,-,+|-,-,-,0,-,-,0,0,-
006D+0062+02D0,mbː,1,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER TRIANGULAR COLON,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,+,0,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0062+02E0,mbˠ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER B and MODIFIER LETTER SMALL GAMMA,0,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0070,mp,35,LATIN SMALL LETTER M and LATIN SMALL LETTER P,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+|-,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0070+0066,mpf,1,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER F,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,+|-,-,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0070+0066+02BC,mpfʼ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER F and MODIFIER LETTER APOSTROPHE,0,0,-,0,-,+,+,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,+|-,-,+,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0070+027E,mpɾ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER P and LATIN SMALL LETTER R WITH FISHHOOK,0,+,-|+,0,-,+,-,-|+,-|+,-,-,-,-,-,0,0,+|-,-,-,-,0,-,+|-|-,+|-|+,-,0,-,-,+|-|+,-,-,-,-,-|+,0,0,-
006D+0070+02B0,mpʰ,4,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL H,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+|-,-,0,-,-,+|-,+,-,0,-,-,0,0,-
006D+0070+02B2,mpʲ,2,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL J,0,0,-,+,-,+,-,-,-,-,0,+,-,-,+,+,+,-,-,-,-,-,+|-,+|-,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0070+02B7,mpʷ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER SMALL W,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+|-,-,0,+,-,+|-,-,-,0,-,-,0,0,-
006D+0070+02BC,mpʼ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER P and MODIFIER LETTER APOSTROPHE,0,0,-,0,-,+,+,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+|-,+,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0076,mv,1,LATIN SMALL LETTER M and LATIN SMALL LETTER V,0,0,-,0,-,+,-,-|+,-,+,0,-,-,-,0,0,+,-|+,-,-,0,-,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0077,mw,1,LATIN SMALL LETTER M and LATIN SMALL LETTER W,0,0,-|+,+,-,+|-,-,-|+,-,0,0,-|+,-,-,-,+,+,-,-,-,-,-,+|-,+,-,0,-|+,-,+,-,-,0,-,-,+,0,-
006D+0253,mɓ,2,LATIN SMALL LETTER M and LATIN SMALL LETTER B WITH HOOK,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-|+,+|-,+,-,0,-,-,+|-,-,-,0,-,-,0,0,-
006D+0266,mɦ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER H WITH HOOK,0,0,-,0,-,+|-,-,-|+,-,+,0,-,-,-,0,0,+|-,-,-,-,0,-,+|-,+,-,0,-,-,+|-,-|+,-,0,-,-,0,0,-
006D+027E,mɾ,1,LATIN SMALL LETTER M and LATIN SMALL LETTER R WITH FISHHOOK,0,+,-|+,0,-,+,-,-|+,-|+,0,-,-,-,-,0,0,+|-,-,-,-,0,-,+|-,+,-,0,-,-,+,-,-,-,-,-|+,0,0,-
006D+02B1,mʱ,6,breathy bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,+,-,0,-,-,0,0,-
006D+02B2,mʲ,43,voiced palatalized bilabial nasal stop consonant,0,0,-,+,-,+,-,-,-,0,0,+,-,-,+,+,+,-,-,-,-,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+02B7,mʷ,56,voiced labialized bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,+,-,+,-,-,0,-,-,0,0,-
006D+02BC,mʼ,2,voiceless bilabial nasal ejective stop consonant,0,0,-,0,-,+,+,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,+,0,-,-,+,-,-,0,-,-,0,0,-
006D+02C0,mˀ,6,voiced glottalized bilabial nasal stop consonant,0,0,-,0,-,+,+,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+02D0,mː,79,long voiced bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,+,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+02D0+02B7,mːʷ,1,,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,+,0,-,+,+,-,0,+,-,+,-,-,0,-,-,0,0,-
006D+02D0+02E0+02B7,mːˠʷ,1,,0,0,-,+,-,+,-,-,-,0,0,+,-,-,-,+,+,-,-,+,-,-,+,+,-,0,+,-,+,-,-,0,-,-,0,0,-
006D+02D0+02E4,mːˤ,1,,-,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,+,0,-,+,+,-,+,-,-,+,-,-,0,-,-,0,0,-
006D+02E0,mˠ,1,voiced velarized bilabial nasal stop consonant,0,0,-,+,-,+,-,-,-,0,0,+,-,-,-,+,+,-,-,-,-,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+02E0+02B7,mˠʷ,3,,0,0,-,+,-,+,-,-,-,0,0,+,-,-,-,+,+,-,-,-,-,-,+,+,-,0,+,-,+,-,-,0,-,-,0,0,-
006D+02E4,mˤ,1,voiced pharyngealized bilabial nasal stop consonant,-,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,+,-,-,+,-,-,0,-,-,0,0,-
006D+0303+02B7,m̃ʷ,1,voiced nasalized labialized bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,+,-,+,-,-,0,-,-,0,0,-
006D+0324,m̤,20,breathy bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,+,-,0,-,-,0,0,-
006D+0324+0062+0324,m̤b̤,2,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+,-,0,-,-,+|-,+,-,0,-,-,0,0,-
006D+0324+0062+0324+0076+0324,m̤b̤v̤,1,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER V and COMBINING DIAERESIS BELOW,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,+|-,+,-,0,-,-,+|-,+,-,0,-,-,0,0,-
006D+0324+0070+02B0,m̤pʰ,1,LATIN SMALL LETTER M and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER P and MODIFIER LETTER SMALL H,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,+|-,-,0,-,-,+|-,+,-,0,-,-,0,0,-
006D+0324+02B1,m̤ʱ,1,breathy bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,+,-,0,-,-,0,0,-
006D+0325,m̥,45,voiceless bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,-,-,0,-,-,+,+,-,0,-,-,0,0,-
006D+0325+0070,m̥p,1,LATIN SMALL LETTER M and COMBINING RING BELOW and LATIN SMALL LETTER P,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+|-,-,-,0,-,-,+|-,+,-,0,-,-,0,0,-
006D+0325+02B0,m̥ʰ,1,aspirated voiceless bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,-,-,0,-,-,+,+,-,0,-,-,0,0,-
006D+0325+02B7,m̥ʷ,1,voiceless labialized bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,-,-,0,+,-,+,+,-,0,-,-,0,0,-
006D+0329,m̩,15,syllabic voiced bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,+,-,0,0,-
006D+032A,m̪,1,voiced dental bilabial nasal stop consonant,0,+,-,0,-,+,-,-,-,0,+,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+0330,m̰,26,creaky bilabial nasal stop consonant,0,0,-,0,-,+,+,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+0348+02D0,m͈ː,1,long fortis voiced bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,+,0,0,+,-,-,+,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006D+0349,m͉,1,lenis voiced bilabial nasal stop consonant,0,0,-,0,-,+,-,-,-,0,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,+,-,-,0,-,-,0,0,-
006E,n,1742,voiced alveolar nasal stop consonant,0,+,-,0,-,+,-,-,+,0,-,-,-,-,0,0,-,0,-,-,0,-,+,+,-,0,0,-,+,-,-,-,-,-,0,0,-
006E+0064,nd,261,LATIN SMALL LETTER N and LATIN SMALL LETTER D,0,+,-,0,-,+,-,-,+,-,-,-,-,-,0,0,-,0,-,-,0,-,+|-,+,-,0,0,-,+|-,-,-,-,-,-,0,0,-
006E+0064+006C,ndl,1,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER L,0,+,-|+,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,0,-|+,-,0,-,+|-|-,+,-,0,0,-,+|-|+,-,-,-,-,-,0,0,-
006E+0064+0072,ndr,5,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER R,0,+,-|+,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,0,-,-,0,-,+|-|-,+,-,0,0,-,+|-|+,-,-,-,-,-,0,0,-|+
006E+0064+007A,ndz,52,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z,0,+,-,0,-,+,-,-,+,+,-,-,-,-,0,0,-,0,-,-,0,-,+|-,+,-,0,0,-,+|-,-,-,+,-,-,0,0,-
006E+0064+007A+02B2,ndzʲ,1,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL J,0,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,-,0,-,-,-,-,+|-,+,-,0,0,-,+|-,-,-,+,-,-,0,0,-
006E+0064+007A+02B7,ndzʷ,1,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL W,0,+,-,0,-,+,-,-,+,+,-,-,-,-,0,0,+,0,-,-,0,-,+|-,+,-,0,+,-,+|-,-,-,+,-,-,0,0,-
006E+0064+027E,ndɾ,2,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER R WITH FISHHOOK,0,+,-|+,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,0,-,-,0,-,+|-|-,+,-,0,0,-,+|-|+,-,-,-,-,-|+,0,0,-
006E+0064+0291,ndʑ,4,LATIN SMALL LETTER N and LATIN SMALL LETTER D and LATIN SMALL LETTER Z WITH CURL,0,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,-,0,-,-,-,-,+|-,+,-,0,0,-,+|-,-,-,+,-,-,0,0,-
