ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
nʘ,4,0,0,0,0,1
ǂʰ,19,0,0,0,0,1
!ʱ,2,0,0,0,0,1
ᵑ!,1,0,0,0,0,1
/ˀ,28,0,0,0,0,1
n/ˣ,3,0,0,0,0,1
qǁˀ,1,0,0,0,0,1
n!,24,0,0,0,0,1
+,0,0,0,0,0,1
n!n,2,0,0,0,0,1
ǂ,20,0,0,0,0,1
/,34,0,0,0,0,1
nǂʱ,2,0,0,0,0,1
ǂkˣˀ,1,0,0,0,0,1
ᵑ/,2,0,0,0,0,1
n+,0,0,0,0,0,1
n̥ʘ,1,0,0,0,0,1
ᵑ!ᶢ,2,0,0,0,0,1
q/ˀ,1,0,0,0,0,1
n/ˀʰ,1,0,0,0,0,1
!ˣ,20,0,0,0,0,1
!ˣˀ,14,0,0,0,0,1
n/,31,0,0,0,0,1
nǂˣ,1,0,0,0,0,1
n/ʱ,2,0,0,0,0,1
n̥ǂ,1,0,0,0,0,1
Gǂ,1,0,0,0,0,1
ˀn!,1,0,0,0,0,1
ɡǁkˣˀ,3,0,0,0,0,1
+kˣˀ,0,0,0,0,0,1
ʘkˣˀ,1,0,0,0,0,1
n!ʰ,1,0,0,0,0,1
!kˣˀ,1,0,0,0,0,1
ɡǁˣ,7,0,0,0,0,1
ǂʱ,2,0,0,0,0,1
ˀnǂ,1,0,0,0,0,1
ˀn/,1,0,0,0,0,1
qǂʰ,1,0,0,0,0,1
n/n,2,0,0,0,0,1
qʘ,1,0,0,0,0,1
ɡ!kˣˀ,3,0,0,0,0,1
nǁˀʰ,1,0,0,0,0,1
G/ʰ,1,0,0,0,0,1
qǂ,8,0,0,0,0,1
ʘˣ,3,0,0,0,0,1
ʘʱ,1,0,0,0,0,1
G!,1,0,0,0,0,1
ɡǂn,7,0,0,0,0,1
ɡǂˀʰ,1,0,0,0,0,1
ǁˀ,27,0,0,0,0,1
qǁ,8,0,0,0,0,1
+ˀ,0,0,0,0,0,1
ɡʘˣ,1,0,0,0,0,1
G/,1,0,0,0,0,1
ǁ,33,0,0,0,0,1
!ˀʰ,1,0,0,0,0,1
n̥!ʰ,2,0,0,0,0,1
q/ʰ,1,0,0,0,0,1
ǂˀʰ,1,0,0,0,0,1
ɡǂ,16,0,0,0,0,1
nǁʱ,2,0,0,0,0,1
ˀnǁ,1,0,0,0,0,1
nǂn,2,0,0,0,0,1
ǁʰ,28,0,0,0,0,1
/ʱ,2,0,0,0,0,1
Gǁ,1,0,0,0,0,1
/ˀʰ,1,0,0,0,0,1
/ˣ,24,0,0,0,0,1
nǁʰ,1,0,0,0,0,1
ǂˣ,17,0,0,0,0,1
nʘʱ,1,0,0,0,0,1
ʘ,5,0,0,0,0,1
q!,7,0,0,0,0,1
ɡǁ,25,0,0,0,0,1
ɡ!ˀʰ,1,0,0,0,0,1
n̥ǂʰ,2,0,0,0,0,1
n/ʰ,2,0,0,0,0,1
nǁn,2,0,0,0,0,1
ɡ!ˣ,3,0,0,0,0,1
!ˀ,24,0,0,0,0,1
ɡʘkˣˀ,1,0,0,0,0,1
ᵑ/ᶢ,3,0,0,0,0,1
ɡʘ,3,0,0,0,0,1
q/,10,0,0,0,0,1
n̥ǁ,2,0,0,0,0,1
n̥!,2,0,0,0,0,1
!ʰ,26,0,0,0,0,1
ɡ!,20,0,0,0,0,1
q!ˀ,1,0,0,0,0,1
ɡ/ˀʰ,1,0,0,0,0,1
ǂˣˀ,13,0,0,0,0,1
ɡǂˣ,2,0,0,0,0,1
ʘˣˀ,1,0,0,0,0,1
n!ʱ,2,0,0,0,0,1
ɡǁn,13,0,0,0,0,1
ɡ!n,8,0,0,0,0,1
+ˣ,0,0,0,0,0,1
n!ˣ,1,0,0,0,0,1
n̥ǁʰ,2,0,0,0,0,1
ᵑǁ,1,0,0,0,0,1
n̥/,2,0,0,0,0,1
qʘˀ,1,0,0,0,0,1
ɡ/,27,0,0,0,0,1
Gǁʰ,1,0,0,0,0,1
nǂ,17,0,0,0,0,1
ǁˀʰ,1,0,0,0,0,1
ɡǂkˣˀ,3,0,0,0,0,1
n̥/ʰ,2,0,0,0,0,1
ǂˀ,18,0,0,0,0,1
qǁʰ,1,0,0,0,0,1
ɡǁˀʰ,1,0,0,0,0,1
ᵑǁᶢ,2,0,0,0,0,1
/ˣˀ,15,0,0,0,0,1
ǁʱ,2,0,0,0,0,1
Gǂʰ,1,0,0,0,0,1
ʘʰ,3,0,0,0,0,1
ʘˀ,3,0,0,0,0,1
ð,112,1,0,0,0,0
vʷ,2,1,0,0,0,0
ɣʷ,11,1,0,0,0,0
z̥̣,1,1,0,0,0,0
ħ,53,1,0,0,0,0
v̤,2,1,0,0,0,0
xˀ,4,1,0,0,0,0
sʰ,18,1,0,0,0,0
šːˀ,3,1,0,0,0,0
šʲ,2,1,0,0,0,0
ɣ,328,1,0,0,0,0
ɸˢ,1,1,0,0,0,0
ʕ,60,1,0,0,0,0
sˀ,21,1,0,0,0,0
ʮː,1,1,0,0,0,0
ⁿs,0,1,0,0,0,0
šʷ,1,1,0,0,0,0
ˀẓ,1,1,0,0,0,0
ᵈžʰ,1,1,0,0,0,0
ⁿz,12,1,0,0,0,0
sʷ,3,1,0,0,0,0
ˀɣ,1,1,0,0,0,0
βʲ,1,1,0,0,0,0
ʯˀ,2,1,0,0,0,0
ˀh,1,1,0,0,0,0
hᵚ,1,1,0,0,0,0
s̪,7,1,0,0,0,0
ʯʷ,32,1,0,0,0,0
š,778,1,0,0,0,0
fs,0,1,0,0,0,0
ˀv,1,1,0,0,0,0
ç,30,1,0,0,0,0
ˀz,0,1,0,0,0,0
sʲ,3,1,0,0,0,0
ʕʷ,5,1,0,0,0,0
s̪ːˀ,3,1,0,0,0,0
ⁿ̃ž,4,1,0,0,0,0
ͫv,3,1,0,0,0,0
zˀ,1,1,0,0,0,0
ɸˀ,1,1,0,0,0,0
fʷ,6,1,0,0,0,0
ðʲ,1,1,0,0,0,0
ˀð,2,1,0,0,0,0
β,203,1,0,0,0,0
f,740,1,0,0,0,0
h,1248,1,0,0,0,0
ṣˀ,3,1,0,0,0,0
ʕˀ,4,1,0,0,0,0
ɸʷ,2,1,0,0,0,0
r,1,1,0,0,0,0
s,1767,1,0,0,0,0
ʁʷ,3,1,0,0,0,0
ʮ,116,1,0,0,0,0
ʁ,95,1,0,0,0,0
v,596,1,0,0,0,0
sʹ,1,1,0,0,0,0
xˀʷ,1,1,0,0,0,0
x,476,1,0,0,0,0
z̪,3,1,0,0,0,0
z,597,1,0,0,0,0
ʯˀʷ,1,1,0,0,0,0
ɦ,44,1,0,0,0,0
zʷ,1,1,0,0,0,0
šˀ,11,1,0,0,0,0
ṣ̌,42,1,0,0,0,0
ˀʁʷ,0,1,0,0,0,0
ʁˀ,0,1,0,0,0,0
z̪ʲ,1,1,0,0,0,0
ˀs̪,1,1,0,0,0,0
fʰ,2,1,0,0,0,0
ṣ,61,1,0,0,0,0
ˀʁ,0,1,0,0,0,0
ʯ,140,1,0,0,0,0
ᵈžˣ,1,1,0,0,0,0
h˜,11,1,0,0,0,0
ɸʲ,1,1,0,0,0,0
ɣ˜,2,1,0,0,0,0
fˢ̌,2,1,0,0,0,0
z̤,1,1,0,0,0,0
hʷ,21,1,0,0,0,0
βʷ,3,1,0,0,0,0
ʮˀ,1,1,0,0,0,0
xʷ,59,1,0,0,0,0
sː,2,1,0,0,0,0
šʰ,3,1,0,0,0,0
