InventoryID,LanguageCode,LanguageName,Glottocode,GlottologName,LanguageFamilyRoot,LanguageFamilyGenus,SpecificDialect,Area,Country,Latitude,Longitude,Population,Phonemes,Consonants,Vowels,Tones,Trump,Source,_phonemelist,Notes
1,kor,"Korean",kore1280,"Korean","asis","Korean","","Asia","Korea, South",37.5,128.0,42000000,40,22,18,0,1,SPA,a|aː|e|eː|h|i|iː|j|k|kʰ|kˀ|l|m|n|o|oː|p|pʰ|pˀ|s|sˀ|t|tʰ|tˀ|t̠ʃ|t̠ʃʰ|t̠ʃˀ|u|uː|w|y|æ|æː|ø|ŋ|ɤ|ɤː|ɯ|ɯː|ʔ,
2,ket,"Ket",kett1243,"Ket","yeos","Yeniseian","","Europe","Russian Federation",63.7551,87.5466,190,32,18,14,0,1,SPA,a|aː|b|d|dʲ|h|i|iː|k̟|lʲ|lˠ|m|n|nʲ|q|s|sʲ|t|tʲ|uː|æ|æː|ŋ|ɔ|ɔː|ɨ|ɨː|ɵ̞|ɵ̞ː|ʊ|ʔ|ʝ,
3,lbe,"Lak",lakk1252,"Lak","ncau","Lak-Dargwa","","Europe","Russian Federation",42.1328,47.0809,157000,69,60,9,0,1,SPA,a|aː|b|d|e̞ˤ|h|i|iː|j|kʰ|kʰʷ|kʷʼ|kʼ|k͈|k͈ʷ|l|m|n|pʰ|pʼ|p͈|qʰ|qʰʷ|qʷʼ|qʼ|q͈|q͈ʷ|r|s|s͈|tsʰ|tsʰʷ|tsʷʼ|tsʼ|tʰ|tʼ|t̠ʃʰ|t̠ʃʰʷ|t̠ʃʷʼ|t̠ʃʼ|t͈|t͈s|t͈sʷ|t͈̠ʃ|t͈̠ʃʷ|u|uː|w|x|xʷ|x͈|x͈ʷ|z|æˤ|ø̞ˤ|ħ|ɡ|ɢ|ɢʷ|ʃ|ʃʷ|ʃ͈|ʃ͈ʷ|ʒ|ʔ|χ|χʷ|χ͈|χ͈ʷ,
4,kbd,"Kabardian",kaba1278,"Kabardian","ncau","Northwest Caucasian","","Europe","Russian Federation",43.5082,43.3918,520000,56,49,7,0,1,SPA,a̟ː|b|d̻|d̻z̻|e̞ː|f|fʼ|iː|j|kʰʷ|kʷʼ|k̟ʰʲ|k̟ʲʼ|m|n̻|o̞ː|pʰ|pʼ|qχ|qχʷ|qχʷʼ|qχʼ|r|s̻|t̻s̻|t̻s̻ʼ|t̻ʰ|t̻ʼ|uː|v|w|xʷ|x̟ʲ|z̻|ç̟|ħ|ɜ|ɡʷ|ɡ̟ʲ|ɣ̟ʲ|ɦ|ɨ|ɬʲ|ɬʲʼ|ɮʲ|ʁ|ʁʷ|ʃ|ʃʼ|ʒ|ʔ|ʔʷ|ʕ|ʝ̟|χ|χʷ,
5,kat,"Georgian",nucl1302,"Nuclear Georgian","kart","Kartvelian","","Asia","Georgia",39.3705,45.8066,3900000,35,29,6,0,1,SPA,a̟|e̞|h|j|k|kʰ|kʼ|lˠ|m|n|o̞|p|pʰ|pʼ|qʼ|r|s|t|ts|tsʰ|tsʼ|tʰ|tʼ|t̠ʃ|t̠ʃʰ|t̠ʃʼ|z|ə̆|ɪ|ʁ|ʃ|ʊ|ʒ|β|χ,
6,bsk,"Burushaski",buru1296,"Burushaski","asis","Burushaski","","Asia","Pakistan",36.2161,74.8236,87000,53,38,12,3,1,SPA,a|aː|ãː|b|d|d̠ʒ|e̞|e̞ː|f|h|i|iː|j|k|kʰ|l|m|n|o̞|o̞ː|p|pʰ|q|qʰ|r|s|t|ts|tsʰ|tʰ|t̠ʃ|t̠ʃʰ|u|uː|ũː|w|z|ŋ|ɖ|ɖʐ|ɡ|ʁ|ʂ|ʃ|ʈ|ʈʂ|ʈʂʰ|ʈʰ|ʐ͇|˥˦|˧|˩˨|χ,
7,kru,"Kurukh",kuru1302,"Kurukh","drav","Northern Dravidian","","Asia","India",24.4644,86.4657,2050000,68,46,22,0,1,SPA,a|aː|ã|ãː|b|b̤|d̠ʒ|d̠ʒː|d̠ʒ̤|d̤̪|d̪|d̪ː|ẽ̞|ẽ̞ː|e̞|e̞ː|h|i|iː|ĩ|ĩː|j|jː|k|kʰ|kː|l|lː|m|n̪|õ̞|õ̞ː|o̞|o̞ː|p|pʰ|pː|r|rː|r̠|s̪|s̪ː|t̠ʃ|t̠ʃʰ|t̠ʃː|t̪|t̪ʰ|t̪ː|u|uː|ũ|ũː|w|wː|ŋ|ɖ|ɖː|ɖ̤|ə|əː|ɡ|ɡ̤|ɳ|ʈ|ʈʰ|ʈː|ʔ|χ,
8,tel,"Telugu",telu1262,"Telugu","drav","South-Central Dravidian","","Asia","India",16.4529,78.7024,69600000,68,47,21,0,2,SPA,aː|b|bː|b̤|d|dz|dzː|dː|d̤|e|eː|f|i|iː|j|k|kʰ|kː|l|lː|m|mː|n|nː|o|oː|o̞|p|pʰ|pː|rː|s|t|ts|tsː|tː|t̠ʃ|u|uː|æː|ɑ|ɒː|ɔː|ɖ|ɖː|ɖ̤|ə|ɛ|ɛː|ɡ|ɡː|ɡ̤|ɦ|ɪ|ɪː|ɭ|ɭː|ɳ|ɾ|ʂ|ʃ|ʈ|ʈʰ|ʈː|ʊ|ʊː|β̞|β̞ː,
9,kfe,"Kota",kota1263,"Kota (India)","drav","Southern Dravidian","","Asia","India",11.4978,76.9387,900,34,23,11,0,2,SPA,a|aː|b|d|d̠ʒ|d̪|e̞|e̞ː|i|iː|j|kʰ|l|m|n|o̞|o̞ː|pʰ|r|tʰ|t̠ʃʰ|t̪ʰ|u|uː|v|ŋ|ɖ|ə|ɡ|ɭ|ɳ|ɽ|ʂ|ʈʰ,
10,unr,"Mundari",mund1320,"Mundari","ausa","Munda","","Asia","India",25.0391,87.1792,1550000,37,32,5,0,2,SPA,a|b̤|d̠ʒ̤|d̤|e̞|h|j|k|kʰ|l|m|n|o̞|p|pʰ|r|s|t|tʰ|t̠ʃ|t̠ʃʰ|w|ŋː|ɖ̤|ɡ̤|ɪ|ɭ|ɳ|ʈ|ʈʰ|ʊ|ʔ|ˀb|ˀd|ˀd̠ʒ|ˀɖ|ˀɡ,
11,khr,"Kharia",khar1287,"Kharia","ausa","Munda","","Asia","India",22.3571,84.3922,292000,41,31,10,0,3,SPA,a|ã|b|b̤|d|d̠ʒ|d̠ʒ̤|d̤|e|i|ĩ|j|k|kʰ|l|m|n|o|õ|p|pʰ|s|t|tʰ|t̠ʃ|t̠ʃʰ|u|ũ|w|ŋ|ɖ|ɖ̤|ɛ̃|ɡ|ɡ̤|ɦ|ɲ|ɽ|ɾ|ʈ|ʈʰ,
12,kha,"Khasi",khas1269,"Khasi","ausa","Khasian","","Asia","India",24.977,91.9998,865000,28,19,9,0,1,SPA,a|aː|b|d|d̠ʒ|e|h|i|k|kʰ|m|n|o|p|pʰ|r|s|t|tʰ|u|ŋ|ə|ɪ̯|ɭ|ɲ|ʃ|ʊ̯|ʔ,
13,sed,"Sedang",seda1262,"Sedang","ausa","Bahnaric","","Asia","Viet Nam",14.7793,108.027,101000,53,39,14,0,1,SPA,a|a̰|e|ḛ|h|i|ḭ|j|k|kʰ|l|l̥|m|mb|m̥|n|nd|n̠d̠ʒ|n̥|o|o̰|p|pʰ|r|r̥|s|t|tʰ|t̠ʃ|u|ṵ|w|ŋ|ŋɡ|ŋ̥|ɔ|ɔ̰|ɛ|ɛ̰|ɲ|ɲ̥|ʃ|ʍ|ʔ|ˀb|ˀd|ˀl|ˀm|ˀn|ˀr|ˀw|ˀŋ|ˀɲ,
14,khm,"Cambodian",cent1989,"Central Khmer","ausa","Khmer","","Asia","Cambodia",12.0515,105.015,12300000,42,21,21,0,1,SPA,a̙̟ː|a̟|ei̙|e̘ː|h|iː|j|k|kʰ|lˠ|m|n|ou̙|o̘ː|p|pʰ|s|t|tʰ|t̠ʃ|t̠ʃʰ|uː|ŋ|ɒ|ɒː|ɓ|ɔ|ɔ̘ː|ɗ|ə|əɨ̙|ə̘ː|ɛ|ɛ̘ː|ɨː|ɪ|ɪ̈|ɲ|ɽ|ʊ|ʋ|ʔ,
15,vie,"Vietnamese",viet1252,"Vietnamese","ausa","Viet-Muong","","Asia","Viet Nam",18.3887,106.757,65800000,39,21,12,6,1,SPA,a̟ː|c|e|f|h|j|k|l|m|n|o|s|t|tʰ|v|w|x|z|ŋ|ɐ|ɓ|ɔ|ɗ|ɛ|ɣ|ɤ|ɪ|ɯ̞|ɲ|ʊ|ʌ|ʌ̯|ʔ|˦˥|˧|˨˩|̤˨˩|̰˦˥|̰˩,
16,cmn,"Mandarin Chinese",mand1415,"Mandarin Chinese","sitb","Chinese","","Asia","China",40.0209,116.228,840000000,43,27,12,4,2,SPA,a|a˞|a̟˞|cç|cçʰ|f|i|j|k|kʰ|l|m|n|p|pʰ|s|t|ts|tsʰ|tʰ|u|u˞|w|w˞|y|ç|ŋ|ɑ̃˞|ə˞|ə̃˞|ɤ|ɤ˞|ɥ|ɰ|ʂ|ʈʂ|ʈʂʰ|ʐ|˥|˥˦|˧˥|˧˨˥|χ,
17,wuu,"Wu",wuch1236,"Wu Chinese","sitb","Chinese","","Asia","China",29.8621,119.682,77200000,41,29,9,3,1,SPA,a|b̤̥|d̤̥|f|h|i|ĩ|j|k|kʰ|l|m|m̩|n|õ̞|o̞|p|pʰ|s|t|ts|tsʰ|tz̤̥|tʰ|u|v|w|y|z|z̞̩|æ̃|ŋ|ŋ̩|ə̟|ɡ̤̥|ɦ|ɻ|ʔ|˥|˥˧˥|˦,
18,hak,"Hakka",hakk1236,"Hakka Chinese","sitb","Chinese","","Asia","China",25.0,116.0,25700000,31,21,6,4,1,SPA,a|f|h|i|j|k̟|k̟ʰ|l|mb|m̩|nd|p|pʰ|s|t|ts|tsʰ|tʰ|u|w|z̞̩|æ|ŋɡ̟|ŋ̩|ɔ|ɛ|ʔ|˥|˧|˧˩|˩,
19,yue,"Cantonese",yuec1235,"Yue Chinese","sitb","Chinese","","Asia","China",23.0,113.0,52000000,32,22,5,5,1,SPA,a|f|h|i|j|k|kʰ|kʰʷ|kʷ|l|l̥|m|m̩|n|p|pʰ|t|tʰ|t̠ʃ|t̠ʃʰ|u|w|æ|ŋ|ŋ̩|ɔ|ʃ|˥|˥˦|˧|˩|̰˧˩,
20,ium,"Yao",iumi1238,"Iu Mien","hmom","Hmong-Mien","","Asia","China",20.83,101.17,383000,49,35,8,6,1,SPA,a|aː|b|c|cʰ|d|dz|e|f|h|i|j|j̥|k|kʰ|l|l̥|m|m̥|m̩|n|n̥|n̩|o|p|pʰ|s|t|ts|tsʰ|tʰ|u|w|æ|ŋ|ŋ̥|ɔ|ɟ|ɡ|ɲ|ɲ̥|ʍ|ʔ|ˤ˧˨|˥˦|˦|˧˩|˨˧|̰˩,
21,dap,"Dafla",nisi1239,"Nisi (India)","sitb","Tani","","Asia","India",27.3708,93.1284,261000,27,16,9,2,1,SPA,b|d|i|i̥|j|k|l̪|m|n|p|r|s|t|u|u̥|x|ŋ|ɑ|ɔ|ɛ|ɡ|ɦ|ɯ|ʌ|ʔ|˥˦|˩˨,
22,mya,"Burmese",nucl1310,"Nuclear Burmese","sitb","Burmese-Lolo","","Asia","Myanmar",20.7926,93.9665,32000000,50,34,13,3,1,SPA,a|b|d|d̠ʒ|e|eĩ|h|i|j|k|kʰ|l|l̥|m|m̥|n|n̥|o|oũ|p|pʰ|s|sʰ|t|tʰ|t̠ʃ|t̠ʃʰ|u|w|z|æ̃|ð|ŋ|ŋ̥|ɔ|ə|ɛ|ɡ|ɪ̃|ɲ|ɲ̥|ɾ|ʃ|ʊ̃|ʍ|ʔ|˥|˩|̰˥|θ,
23,lhu,"Lahu",lahu1253,"Lahu","sitb","Burmese-Lolo","","Asia","China",21.2701,100.214,280000,40,26,9,5,1,SPA,a|b|d|d̠ʒ|e|e̞|f|h|i|j|k|kʰ|l|m|n|o|p|pʰ|q|qʰ|t|tʰ|t̠ʃ|t̠ʃʰ|u|v|w|ŋ|ɔ|ɘ|ɡ|ɣ|ɨ|ʃ|ʔ|˥˦|˧|˧˦|˧˨|˩,
24,grt,"Garo",garo1247,"Garo","sitb","Bodo-Garo","","Asia","India",25.2954,90.462,780000,26,21,5,0,2,SPA,a|b|d|dz|e̞|h|i|kʰ|l|m|mˀ|n|nˀ|o|pʰ|s̻|ts|tʰ|w|ŋ|ŋˀ|ɡ|ɾ|ɾˀ|ʉ|ʔ,
25,ksw,"Karen",sgaw1245,"S'gaw Karen","sitb","Karen","","Asia","Myanmar",17.9872,97.7126,1280000,39,27,9,3,1,SPA,a|c|cʰ|e|i|j|k|kʰ|l|m|n|o|p|pʰ|s|sʰ|t|tʰ|u|w|x|z|ŋ|ɓ|ɔ|ɗ|ɛ|ɜ|ɣ|ɦ|ɪ̈|ɲ|ɹ|ʃ|ʔ|˦˥|˧˩|̤˧˨|θ,
26,lbc,"Lakkia",lakk1238,"Lakkia","taik","Kadai","","Asia","China",24.1169,110.106,12000,59,31,22,6,1,SPA,a|ã|ã̆|ă|ĕ|f|h|i|ie|iẽ|ĩ|ĭ|j|j̥|k|kʰ|kʰʲ|kʰʷ|kʷ|l|m|m̥|n|n̥|õ̆|p|pʰ|t|ts|tsʰ|tʰ|u|uo|ũ|ũ̆|ŭ|w|ŋ|ŋʲ|ŋʷ|ŋ̥ʲ|ɔ|ɔ̃|ɛ|ɛ̃|ɛ̃̆|ɛ̆|ɥ|ɬ|ʍ|ʔ|ˀb|˥|˥˦|˧˨˥|˨˧|˨˧˩|˩|θ,
27,tha,"Thai",thai1261,"Thai","taik","Kam-Tai","","Asia","Thailand",14.192,100.671,20200000,45,21,18,6,1,SPA,a|aː|b|cç|cçʰ|d|eː|f|h|iː|j|k|kʰ|l|m|n|o|oː|p|pʰ|s|t|tʰ|uː|w|æ|æː|ŋ|ɔ|ɔː|ɘ|ɘː|ɛ|ɨ|ɨː|ɪ|ɾ|ʊ|ʔ|˥|˧|˧˩|˨˧|˩|̰˥,
28,pcc,"Yay",bouy1240,"Bouyei","taik","Kam-Tai","","Asia","China",24.8484,106.187,2600000,38,24,8,6,1,SPA,a|aː|b|c|cʰ|d|f|h|i|j|k|kʰ|l|m|n|p|pʰ|r|s|t|tʰ|u|v|ŋ|ɔ|ə|ɛ|ɡ|ɯ|ɲ|ʔ|˥|˥˩|˦|˧|˩|˩˥|θ,
29,cja,"Cham",west2650,"Western Cham","anes","Malayic","","Asia","Cambodia",12.4771,104.026,290000,35,24,9,2,1,SPA,a|b|c|cʰ|d|e|h|i|j|k|kʰ|l|m|n|o|p|pʰ|t|tʰ|u|w|ŋ|ɔ|ə|ɛ|ɨ|ɲ|ɾ|ʂ|ʃ|ʈ|ʈʰ|ʔ|˧|˩,
30,tay,"Atayal",atay1247,"Atayal","anes","Atayalic","","Asia","Taiwan",24.5209,121.388,84300,27,19,8,0,1,SPA,a|i|iː|j|k|l|m|n|p|q|s|t|ts|u|uː|w|x|ħ|ŋ|ɔ|ə̆|ɛ|ɣ|ɾ|ʒ|ʔ|β,
31,plt,"Malagasy",plat1254,"Plateau Malagasy","anes","Barito","","Africa","Madagascar",-19.5907,47.1211,7520000,36,31,5,0,1,SPA,a|b|d|dz|e̞|f|h|i|j|k|l|m|mb|mp|n|nd|ndz|nt|nts|p|s|t|ts|v|w|z|ŋk|ŋɡ|ɔ|ɖr̠|ɡ|ɳɖr̠|ɳʈr̠̥|ɾ|ʈr̠̥|ʊ,
32,zsm,"Malay",stan1306,"Standard Malay","anes","Malayic","","Asia","Malaysia",3.08896,101.699,1,27,21,6,0,1,SPA,a|b|c|d|e|f|h|i|k|l|m|n|p|r|s|t|u|v|x|z|ŋ|ɔ|ə|ɟ|ɡ|ɲ|ʃ,
33,btx,"Batak",bata1293,"Batak Karo","anes","Sumatra","","Asia","Indonesia",2.12787,98.2517,600000,21,16,5,0,2,SPA,a|b|d|d̠ʒ|h|i|j|k|l|m|n|o|p|s|t|u|w|ŋ|ɛ|ɡ|ʀ,
34,snv,"Saban",saba1265,"Sa'ban","anes","Northwest Malayo-Polynesian","","Asia","Malaysia",3.58723,115.664,1110,46,38,8,0,1,SPA,a|aː|b|b͈|d|d̠ʒ|d͈|d͈̠ʒ|h|i|j|k|k͈|l|l̥|l̩|m|m̥|m̩|n|n̥|n̩|p|p͈|r̩|s|sː|t|t̠ʃ|t͈|u|w|ŋ|ŋ̥|ŋ̩|ɔ|ə|ɛ|ɡ|ɨ|ɲ|ɲ̥|ɲ̩|ɾ|ʂ͇|ʔ,
35,sun,"Sundanese",sund1252,"Sundanese","anes","Sundanese","","Asia","Indonesia",-6.89708,107.106,34000000,26,19,7,0,1,SPA,a|b|d|d̠ʒ|h|i|j|k|l|m|n|o|p|s|t̠ʃ|t̪|u|w|ŋ|ə|ɛ|ɡ|ɨ|ɲ|ɾ|ʔ,
36,jav,"Javanese",java1254,"Javanese","anes","Javanese","","Asia","Indonesia",-0.572307,110.885,84300000,30,22,8,0,2,SPA,a|b̤̥|d̤̥|d̤̪̥|e|h|i|j|k|l|l̤|m|n|o|p|r|s|t|ts|tz̤̥|t̪|u|w|ŋ|ɔ|ə|ɛ|ɡ̤̥|ɲ|ʔ,
37,tgl,"Tagalog",taga1270,"Tagalog","anes","Meso-Philippine","","Asia","Philippines",14.06,121.747,21500000,28,18,10,0,2,SPA,aː|b|d|e|eː|f|h|iː|j|k|l|m|n|o|oː|p|s|t|t̠ʃ|uː|w|ŋ|ə|ɡ|ɪ|ɾ|ʊ|ʔ,
38,cha,"Chamorro",cham1312,"Chamorro","anes","Chamorro","","Pacific","Guam",14.3307,145.276,62500,36,30,6,0,1,SPA,b|bː|d|dz|dː|e|f|h|i|j|k|kː|l|lː|m|mː|n|nː|o|pʰ|pː|s|sː|t|ts|tː|u|w|æ|ŋ|ɒ|ɡ|ɡː|ɲ|ɻ|ʔ,
39,iai,"Iai",iaai1238,"Iaai","anes","Oceanic","","Pacific","New Caledonia",-20.6301,166.59,1560,52,33,19,0,1,SPA,a|aː|b|bʷ|d|d̠ʒ|e|eː|f|h|i|iː|k|l|l̥|m|mʷ|m̥|m̥ʷ|n|n̥|o|oː|p|s|t|t̠ʃ|u|uː|w|x|y|æ|æː|ð|ø|ŋ|ŋ̥|œ|ɔ|ɔː|ɖ|ɛ|ɛː|ɡ|ɲ|ɲ̥|ɸ|ɹ|ʈ|ʍ|θ,
40,khl,"Kaliai",lusi1240,"Lusi","anes","Oceanic","","Pacific","Papua New Guinea",-5.55033,149.148,2000,28,18,10,0,1,SPA,a|aː|e̞|e̞ː|h|i|iː|k|l|m|mb|n|nd|o̞|o̞ː|p|r|s|t|u|uː|ŋ|ŋɡ|ɡɣ|ɾ|ʍ|ʔ|β,
41,adz,"Adzera",adze1240,"Adzera","anes","Oceanic","","Pacific","Papua New Guinea",-6.39394,146.294,28900,25,18,7,0,1,SPA,a|aː|b|d|dz|f|h|i|iː|j|kʰ|m|n|o|oː|pʰ|r|s|tsʰ|tʰ|ŋ|ɡ|ɯ|ɰ|ʔ,
42,mri,"Maori",maor1246,"Maori","anes","Oceanic","","Pacific","New Zealand",-38.2881,176.541,60000,20,10,10,0,1,SPA,f|h|i|iː|k|m|n|oː|o̞|p|t|u|uː|w|ŋ|ɑ|ɑː|ɛ|ɛː|ɾ,
43,haw,"Hawaiian",hawa1245,"Hawaiian","anes","Oceanic","","America","United States",19.6297,-155.43,1000,19,9,10,0,1,SPA,a|aː|eː|h|i|iː|k|l|m|n|o|oː|p|s|u|uː|w|ɛ|ʔ,
44,ant,"Western Desert",anta1253,"Antakarinya","aust","Pama-Nyungan","","Pacific","Australia",-27.1152,134.838,50,23,17,6,0,1,SPA,a|aː|i|iː|j|k|l|l̻|m|n|n̻|p|t|t̻|uː|w|ŋ|ɭ|ɳ|ɻ|ɾ|ʈ|ʊ,
45,nna,"Nyangumata",nyan1301,"Nyangumarta","aust","Pama-Nyungan","","Pacific","Australia",-20.6271,121.391,260,27,20,7,0,1,SPA,a|aː|eː|iː|j|k|l|l̻|m|n|n̻|p|r|t|t̻|uː|w|xʷ|ŋ|ŋʷ|ɪ|ɭ|ɳ|ɻ|ʈ|ʊ|ʔ,
46,kjn,"Kunjen",kunj1245,"Kunjen","aust","Pama-Nyungan","","Pacific","Australia",-16.6807,143.53,20,28,23,5,0,1,SPA,a|c|cʰ|f|j|k|kʰ|l|m|n|n̻|o̞|p|pʰ|r̥|t|tʰ|t̻|t̻ʰ|w|ð|ŋ|ɛ|ɣ|ɪ|ɲ|ɻ|ʊ,
47,zmr,"Maranungku",mara1386,"Maranunggu","aust","Western Daly","","Pacific","Australia",-13.6754,130.12,15,24,19,5,0,1,SPA,a|i|j|k|kː|l|m|mː|n|nː|p|pː|r|t|tː|t̠ʃ|t̠ʃː|w|æ|ŋ|ə|ɲ|ɹ|ʊ,
48,mph,"Maung",maun1240,"Maung","aust","Iwaidjan","","Pacific","Australia",-11.8393,133.185,240,24,19,5,0,1,SPA,a|i|j|k|l|m|n|n̻|p|r|t|t̻|u|w|ŋ|ɔ|ɛ|ɣ|ɭ|ɳ|ɻ|ɽ|ʈ|ʔ,
49,nuy,"Nunggubuyu",nung1290,"Nunggubuyu","aust","Nunggubuyu","","Pacific","Australia",-14.2623,135.753,360,24,19,5,0,1,SPA,aː|c̟|j|k|l|l̪|m|n|n̪|p|r|t|t̪|w|æ|ŋ|ɐ|ɪ|ɭ|ɯ̞|ɲ̟|ɳ|ɻ|ʈ,
50,alh,"Alawa",alaw1244,"Alawa","aust","Maran","","Pacific","Australia",-15.5458,134.282,18,28,23,5,0,1,SPA,a|c̟|e̞|e̞ː|j|k|l|m|mb|n|nd|p|t|w|ŋ|ŋɡ|ɪ|ɭ|ɯ̞|ɲ̟|ɲ̟ʝ̟|ɳ|ɳɖ|ɹ|ɾ|ʈ|ʎ̟|ʔ,
51,wim,"Wik-Munkan",wikm1247,"Wik-Mungkan","aust","Pama-Nyungan","","Pacific","Australia",-13.9805,141.816,840,23,13,10,0,1,SPA,a|aː|c̟|i|iː|j|k|l|m|n|p|r|t|w|ŋ|ɔ|ɔː|ɛ|ɛː|ɲ̟|ʊ|ʊː|ʔ,
52,set,"Sentani",nucl1632,"Nuclear Nuclear Sentani","trng","Sentani","","Asia","Indonesia",-2.6013,140.512,30000,17,10,7,0,1,SPA,a̟|e|f|h|i|j|k|m|n|p|t|u|w|ɔ|ə|ɛ|ɺ,
53,kmo,"Washkuk",kwom1262,"Kwoma","sepr","Middle Sepik","","Pacific","Papua New Guinea",-4.08721,142.664,3000,31,24,7,0,1,SPA,a|e|h|i|j|k|kʷ|m|mb|mbʷ|mʷ|n|nd|n̠d̠ʒ|o̞|s|t|t̠ʃ|u|w|ŋɡ|ŋɡʷ|ɛ|ɨ|ɲ|ɸ|ɸʷ|ɾ|ʃ|ʔ|β,
54,tml,"Asmat",tamn1235,"Tamnim Citak","trng","Asmat-Kamoro","","Asia","Indonesia",-5.57962,139.233,290,19,14,5,0,1,SPA,a|e|f|i|k|m|n|p|pʷ|s|t|t̠ʃ|u|w|ɔ|ɾ|ʃ|ʝ|θ,
55,tlf,"Telefol",tele1256,"Telefol","trng","Ok","","Pacific","Papua New Guinea",-5.07444,141.731,5400,27,17,8,2,1,SPA,a|aː|b|d|f|h|i|iː|j|k|kʷ|l|m|n|p|s|t|u|uː|w|ŋ|ɔː|ɛː|ɡ|ʔ|˥|˧,
56,gaj,"Gadsup",gads1258,"Gadsup","trng","Eastern Highlands","","Pacific","Papua New Guinea",-6.31631,145.997,22100,19,9,6,4,1,SPA,a̟ː|d|eː|i|j|k|m|n|oː|p|t̻|u|ɜ|ʔ|˥|˧˩|˩|˩˨|β,
57,auy,"Auyana",awiy1238,"Awiyaana","trng","Eastern Highlands","","Pacific","Papua New Guinea",-6.54079,145.76,11100,20,11,6,3,1,SPA,aː|e|i|j|k|m|mː|n|nː|o̞|p|t|u|w|ə|ɾ|ʔ|˥|˥˩|˩,
58,kup,"Kunimaipa",kuni1267,"Kunimaipa","trng","Goilalan","","Pacific","Papua New Guinea",-8.09371,146.908,8200,20,15,5,0,1,SPA,a|b|d̪|e|i|k|l|m|n|p|s|t|u|z|ŋ|ɡ|ɢ|ɽ|ʊ|β̞,
59,spl,"Selepet",sele1250,"Selepet","trng","Finisterre-Huon","","Pacific","Papua New Guinea",-6.03532,147.234,7000,21,15,6,0,1,SPA,a|h|i|j|kʰ|l|m|mb|n|nd|o|pʰ|s|tʰ|u|w|ŋ|ŋɡ|ɛ|ɶ̝|ɾ,
60,nas,"Nasioi",naas1242,"Naasioi","epap","East Bougainville","","Pacific","Papua New Guinea",-6.46022,155.632,20000,18,8,10,0,1,SPA,a|aː|b|i|iː|k|m|n|o|oː|p|t|u|uː|ɛ|ɛː|ɾ|ʔ,
61,ale,"Aleut",aleu1260,"Aleut","eska","Aleut","","America","United States",52.1228,-174.29,300,36,30,6,0,1,SPA,a|aː|f|h|i|iː|j|j̥|k|l|l̥|m|m̥|n|n̥|p|q|r|t|t̠ʃ|u|uː|v|w|x|ð|ŋ|ŋ̥|ɣ|ʁ|ʃ|ʍ|ʒ|ʔ|β|χ,
62,kal,"Inuit",kala1399,"Kalaallisut","eska","Eskimo","","America","Greenland",69.3761,-52.864,47800,38,32,6,0,1,SPA,a|aː|fː|h|i|k|kː|l|m|mː|n|nː|p|pː|q|qː|s̻|s̻ː|t|tː|tːs|u|xː|ŋ|ŋː|ɣ|ɪː|ɬː|ɴ|ɴː|ʁ|ʃ|ʃː|ʊː|ʔ|ʝ|β|χː,
63,chp,"Chipewyan",chip1261,"Chipewyan","nadn","Athapaskan","","America","Canada",58.3637,-110.832,9030,61,39,18,4,1,SPA,a|aː|ã|ãː|e|h|i|iː|ĩ|ĩː|j|k|kx|kxʷ|kʷ|kʷʼ|kʼ|l|l̥|m|n|o|p|r|s|t|ts|tsʰ|tsʼ|tx|tɬ|tɬʰ|tɬʼ|tʼ|t̠ʃ|t̠ʃʰ|t̠ʃʼ|t̪θ|t̪θʰ|t̪θʼ|u|uː|ũ|ũː|x|xʷ|z|ð|ɛ|ɛː|ɛ̃|ɛ̃ː|ɣ|ɣʷ|ʃ|ʔ|˥|˥˦|˩|˩˨|θ,
64,tol,"Chasta Costa",tolo1259,"Tolowa","nadn","Athapaskan","","America","United States",41.9192,-124.1,4,44,29,15,0,2,SPA,a|aː|ã|ãː|e̞|e̞ː|h|i|iː|ĩ|ĩː|j|k|kʷ|kʷʼ|kʼ|l|m|mˀ|n|nˀ|p|s|t|tsʼ|tʰ|tʼ|t̠ʃ|t̠ʃʰ|t̠ʃʼ|u|uː|ũ|ũː|w|x|xʷ|ə|ɣ|ɬ|ʂ|ʃ|ʈʂʼ|ʔ,
65,hup,"Hupa",hupa1239,"Hupa","nadn","Athapaskan","","America","United States",41.0982,-123.68,8,42,35,7,0,1,SPA,a|aː|c|cʰ|cʼ|e̞|e̞ː|h|hʷ|j|k|kʰ|kʼ|l|m|n|o̞|o̞ː|p|q|qʰ|qʼ|s̻|t|tɬʼ|tʰ|tʼ|t̠ʃ|t̠ʃʰʷ|t̠ʃʷʼ|t̠ʃʼ|t̻s̻|t̻s̻ʰ|t̻s̻ʼ|w|x|xʷ|ŋ|ɪ|ɬ|ʃ|ʔ,
