InventoryID,LanguageCode,LanguageName,Glottocode,GlottologName,LanguageFamilyRoot,LanguageFamilyGenus,SpecificDialect,Area,Country,Latitude,Longitude,Population,Phonemes,Consonants,Vowels,Tones,Trump,Source,_phonemelist,Notes
1382,oks,"Oko",okoe1238,"Oko-Eni-Osayen","ncon","Oko","","Africa","Nigeria",7.53908,6.15725,10000,30,18,7,5,1,GM,a|b|d|d̠ʒ|e|f|h|i|j|kp|l|m|n|o|p|r|s|t|t̠ʃ|u|v|w|ɔ|ɛ|ɡb|˦|˧|˧˨|˨|˨˦,
1383,xuu,"!Xun",kxoe1243,"Kxoe","khoi","Central Khoisan","W2","Africa","Namibia",-16.5905,22.5998,4000,120,95,21,4,1,GM,a|aˤ|ã|ãˤ|ã̰|a̰|b|bʱ|d|dx|dʱ|dʼ|d̠ʒ|d̠ʒxʼ|d̠ʒʰ|d̠ʒʼ|d̠ʒː|e|ḛ|i|ĩ|ḭ|j|k|kxʼ|kǀ|kǀx|kǀxʼ|kǀʰ|kǀʰʼ|kǀʼ|kǁ|kǁx|kǁxʼ|kǁʰ|kǁʰʼ|kǁʼ|kǃ|kǃx|kǃxʼ|kǃʰ|kǃʰʼ|kǃʼ|kʰ|k‼|k‼x|k‼xʼ|k‼ʰ|k‼ʰʼ|k‼ʼ|l|m|mb|mʱ|n|nd|nʱ|o|oˤ|õˤ|õ̰|o̰|p|pʰ|qm|qn|t|tx|tʰ|tʰʼ|t̠ʃ|t̠ʃx|t̠ʃʰ|t̠ʃʼ|u|uˤ|ũ|ũˤ|ṵ|w|x|ç|ŋ|ŋǀ|ŋǀʱ|ŋǁ|ŋǃ|ŋǃʱ|ŋɡ|ŋ‼|ŋ‼ʱ|ɡ|ɡǀ|ɡǀx|ɡǀxʼ|ɡǀʱ|ɡǁ|ɡǁx|ɡǁxʼ|ɡǃ|ɡǃx|ɡǃxʼ|ɡǃʱ|ɡʱ|ɡʼ|ɡ‼|ɡ‼x|ɡ‼xʼ|ɡ‼ʱ|ɦ|ɲ|ʔ|ʼm|ʼn|ʼŋǀ|ʼŋǃ|˦|˧|˨|˩,
1384,bbj,"Banjun",ghom1247,"Ghomala'","ncon","Bantoid","","Africa","Cameroon",5.39619,10.352,260000,59,36,18,5,1,GM,a|aː|b|bv|bβ|d|dz|d̠ʒ|d̪ð|e|f|h|i|iː|j|k|l|m|n|o|oː|p|pf|pɸ|s|t|ts|t̠ʃ|t̪θ|u|uː|v|w|x|z|ŋ|ɐ|ɐː|ɔ|ɔː|ɕ|ə|ɛ|ɛː|ɡ|ɣ|ɥ|ɲ|ʃ|ʉ|ʉː|ʒ|ʔ|˦|˦˨|˧|˨|˨˦|χ,
1385,afn,"Defaka",defa1248,"Defaka","ncon","Ijoid","","Africa","Nigeria",4.58451,7.50186,200,42,18,19,5,1,GM,a|aː|ã|b|d|d̠ʒ|e|eː|ẽ|f|i|iː|ĩ|j|k|kp|l|m|o|oː|õ|p|s|t|u|uː|ũ|v|w|ɓ|ɔ|ɔː|ɛ|ɛː|ɡ|ɡb|ɾ|˦|˦˨|˨|˨˦|↓˦,
1386,tkq,"Tee",teee1242,"Tee","ncon","Cross River","","Africa","Nigeria",4.73213,7.37553,313000,38,23,12,3,1,GM,a|ã|b|d|e|ẽ|i|ĩ|j|j̥|k|kp|kʷ|l|l̥|n|n̥|o|õ|p|s|t|u|ũ|w|z|ŋʷ|ɔ|ɛ|ɡ|ɡb|ɡʷ|ɲ|ɹ|ʍ|˦|˧|˨,
1387,sgc,"Kipsigis",kips1239,"Kipsigis","nsah","Nilotic","","Africa","Kenya",-0.35774,35.258532,471000,37,14,19,4,1,GM,a|aː|e|eː|h|i|kʰ|l|m|n|o|oː|p|r|s|tʰ|t̠ʃ|u|uː|w|ç|ŋ|ɑ|ɑː|ɔ|ɔː|ɛ|ɛː|ɪ|ɪː|ɲ|ʊ|ʊː|˦|˦˨|˨|˨˦,
1388,pbr,"Pangwa",pang1287,"Pangwa","ncon","Bantoid","","Africa","Tanzania",-9.96782,34.8039,95000,35,23,12,0,1,GM,a|aː|e|eː|f|h|i|iː|j|k|l|m|mb|n|nd|n̠d̠ʒ|o|oː|pʰ|s|tɕ|tʰ|t̠ʃ|u|uː|x|ŋ|ŋɡ|ɓ|ɗ|ə|əː|ɲ|ʃ|β,
1389,hoo,"Holoholo",holo1240,"Holoholo","ncon","Bantoid","","Africa","Democratic Republic of the Congo",-5.37545,28.3274,15500,26,17,7,2,1,GM,a|b|d|d̠ʒ|e|f|i|j|k|l̪|m|n̪|o|p|t̪|u|w|ŋ|ɡ|ɪ|ɲ|ɸ|ʃ|ʊ|˦|˨,
1390,bwu,"Buli",buli1254,"Buli (Ghana)","ncon","Gur","","Africa","Ghana",10.5763,-1.26748,150000,46,23,13,10,1,GM,a|aː|b|d|d̠ʒ|e|eː|f|i|iː|j|k|kp|l|m|n|o|oː|p|r|s|t|t̠ʃ|u|uː|v|w|z|ø|øː|ŋ|ŋm|ɘ|ɡ|ɡb|ɲ|˦|˦˧|˦˨|˧|˧˦˧|˧˨|˧˨˧|˨|˨˦|˨˧,
1391,bjt,"Balante",bala1302,"Balanta-Ganja","ncon","Northern Atlantic","Ganja","Africa","Senegal",12.5382,-15.6658,82800,50,33,14,3,1,GM,a|aː|b|d̠ʒ|e|eː|f|i|iː|j|k|kp|l|m|mb|n|nd|ns|nt|n̠d̠ʒ|nθ|o|oː|p|r|tʰ|t̠ʃ|u|uː|w|ŋ|ŋmɡb|ŋɡ|ŋʱ|ŋʷ|ɔ|ɔː|ɗ|ɛ|ɛː|ɡ|ɡb|ɱf|ɲ|ʃ|ʔ|˦|˧|˨|θ,
